Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,254.6999969482422,255.47999572753906,252.82000732421875,253.05999755859375,211.1044921875,285100
2014-01-03,253.07000732421875,254.24000549316406,251.89999389648438,252.83999633789062,210.92086791992188,204800
2014-01-06,253.69000244140625,253.72000122070312,249.7899932861328,250.97000122070312,209.36097717285156,323100
2014-01-07,252.27999877929688,253.77000427246094,251.1699981689453,252.9199981689453,210.98770141601562,381300
2014-01-08,252.9199981689453,253.97000122070312,250.82000732421875,253.44000244140625,211.4215087890625,368400
2014-01-09,254.44000244140625,256.260009765625,252.55999755859375,254.5,212.30569458007812,421100
2014-01-10,255.49000549316406,267.489990234375,255.3800048828125,263.7099914550781,219.9888458251953,928900
2014-01-13,262.760009765625,264.19000244140625,260.8999938964844,261.6600036621094,218.2786865234375,915900
2014-01-14,262.25,264.44000244140625,258.0,264.260009765625,220.44760131835938,387200
2014-01-15,263.4800109863281,266.17999267578125,261.8900146484375,263.7799987792969,220.04714965820312,461300
2014-01-16,263.7300109863281,266.29998779296875,262.1300048828125,265.94000244140625,221.8489990234375,396000
2014-01-17,266.5799865722656,266.9599914550781,262.8800048828125,264.1000061035156,220.3141326904297,384800
2014-01-21,263.69000244140625,264.989990234375,262.69000244140625,264.05999755859375,220.2807159423828,405900
2014-01-22,265.0,265.8399963378906,261.0400085449219,262.0299987792969,218.58729553222656,486500
2014-01-23,260.3599853515625,262.760009765625,256.0199890136719,256.6600036621094,214.1076202392578,622000
2014-01-24,248.60000610351562,252.1300048828125,240.3800048828125,241.85000610351562,201.75302124023438,1658400
2014-01-27,241.67999267578125,243.36000061035156,236.89999389648438,238.92999267578125,199.317138671875,824700
2014-01-28,239.4600067138672,239.47999572753906,237.3300018310547,237.86000061035156,198.42453002929688,641800
2014-01-29,236.75,240.49000549316406,235.88999938964844,238.16000366210938,198.6748046875,495400
2014-01-30,238.1699981689453,239.8000030517578,236.9199981689453,237.1699981689453,197.84889221191406,402700
2014-01-31,234.00999450683594,236.11000061035156,232.25999450683594,234.47999572753906,195.60494995117188,538500
2014-02-03,234.5,234.5,228.19000244140625,229.2899932861328,191.2753448486328,702300
2014-02-04,230.6300048828125,231.85000610351562,228.77000427246094,231.2899932861328,192.94375610351562,634800
2014-02-05,230.22999572753906,233.80999755859375,229.97000122070312,230.8699951171875,192.5934295654297,612800
2014-02-06,231.47999572753906,234.1699981689453,230.3300018310547,233.9499969482422,195.9521026611328,449500
2014-02-07,234.6199951171875,236.02999877929688,231.6300048828125,234.0,195.99398803710938,842500
2014-02-10,233.22999572753906,236.72000122070312,232.52000427246094,234.2899932861328,196.2368927001953,643800
2014-02-11,231.89999389648438,239.00999450683594,230.11000061035156,237.86000061035156,199.22708129882812,715600
